gene name,1
ENST00000456089.1,ENSG00000213689.5
ENST00000376729.5,ENSG00000101940.11
ENST00000473330.1,ENSG00000075618.12
ENST00000517701.1,ENSG00000141698.10
ENST00000221138.4,ENSG00000104695.7
ENST00000467315.1,ENSG00000141959.12
ENST00000361204.4,ENSG00000198911.7
ENST00000368305.4,ENSG00000116586.7
ENST00000393725.2,ENSG00000122203.10
ENST00000279281.3,ENSG00000149823.3
ENST00000393695.3,ENSG00000137497.13
ENST00000221419.4,ENSG00000104824.9
ENST00000371733.3,ENSG00000085832.12
ENST00000348911.6,ENSG00000100241.15
ENST00000545045.1,ENSG00000111674.2
ENST00000581767.1,ENSG00000198231.7
ENST00000378609.3,ENSG00000078369.10
ENST00000246533.3,ENSG00000126247.5
ENST00000349769.3,ENSG00000071894.9
ENST00000492057.1,ENSG00000148334.9
ENST00000354192.3,ENSG00000142192.14
ENST00000368797.4,ENSG00000188690.7
ENST00000380281.1,ENSG00000110844.8
ENST00000379440.4,ENSG00000171867.12
ENST00000221561.8,ENSG00000104964.10
ENST00000446856.1,ENSG00000087274.12
ENST00000355957.5,ENSG00000124222.15
ENST00000541217.1,ENSG00000255990.1
ENST00000243189.7,ENSG00000117616.13
ENST00000409068.1,ENSG00000115977.13
ENST00000530981.1,ENSG00000087365.9
ENST00000379589.3,ENSG00000183722.7
ENST00000252015.2,ENSG00000100991.6
ENST00000451949.2,ENSG00000113648.12
ENST00000562017.1,ENSG00000125148.6
ENST00000471189.1,ENSG00000010256.6
ENST00000417088.1,ENSG00000233927.2
ENST00000468611.1,ENSG00000106263.13
ENST00000534854.2,ENSG00000015153.10
ENST00000358024.3,ENSG00000133069.10
ENST00000555004.1,ENSG00000227051.4
ENST00000510297.1,ENSG00000145526.6
ENST00000361216.3,ENSG00000018625.10
ENST00000412431.2,ENSG00000230551.3
ENST00000372209.3,ENSG00000142937.7
ENST00000469415.1,ENSG00000126217.16
ENST00000492367.1,ENSG00000104805.10
ENST00000423516.1,ENSG00000163931.11
ENST00000265260.3,ENSG00000081154.7
ENST00000322147.4,ENSG00000168056.10
ENST00000382952.3,ENSG00000159692.11
ENST00000215904.6,ENSG00000241360.1
ENST00000340990.5,ENSG00000159346.8
ENST00000344836.4,ENSG00000187555.10
ENST00000435064.1,ENSG00000127054.13
ENST00000262795.3,ENSG00000251322.3
ENST00000263674.3,ENSG00000110237.3
ENST00000579898.1,ENSG00000177728.10
ENST00000456247.2,ENSG00000149091.10
ENST00000495388.2,ENSG00000169862.14
ENST00000345716.4,ENSG00000010322.11
ENST00000302392.4,ENSG00000169964.5
ENST00000401730.1,ENSG00000104852.9
ENST00000246071.6,ENSG00000125870.6
ENST00000318059.3,ENSG00000217930.3
ENST00000551632.1,ENSG00000178498.11
ENST00000262803.4,ENSG00000005007.7
ENST00000534336.1,ENSG00000251562.3
ENST00000263798.3,ENSG00000092445.7
ENST00000341298.3,ENSG00000179085.7
ENST00000297156.2,ENSG00000164615.3
ENST00000361227.2,ENSG00000198840.2
ENST00000396425.3,ENSG00000100167.15
ENST00000463056.1,ENSG00000122515.10
ENST00000514089.1,ENSG00000159210.4
ENST00000547619.1,ENSG00000139910.15
ENST00000493973.1,ENSG00000127948.9
ENST00000251473.5,ENSG00000105520.6
ENST00000447146.2,ENSG00000102103.11
ENST00000328459.6,ENSG00000165914.10
ENST00000203630.5,ENSG00000089693.6
ENST00000581858.1,ENSG00000177731.10
ENST00000468319.1,ENSG00000204052.3
ENST00000569980.1,ENSG00000088682.9
ENST00000485862.1,ENSG00000148337.13
ENST00000529440.1,ENSG00000129158.5
ENST00000399138.4,ENSG00000091542.8
ENST00000226798.4,ENSG00000109536.6
ENST00000406548.1,ENSG00000182944.13
ENST00000245552.2,ENSG00000125458.2
ENST00000517675.1,ENSG00000253230.1
ENST00000393028.1,ENSG00000123159.10
ENST00000412097.1,ENSG00000174748.13
ENST00000528545.1,ENSG00000142186.11
ENST00000396435.3,ENSG00000124313.8
ENST00000312547.1,ENSG00000130724.3
ENST00000291565.4,ENSG00000160209.12
ENST00000290649.5,ENSG00000159461.10
ENST00000546463.1,ENSG00000197111.9
ENST00000252102.4,ENSG00000131495.4
ENST00000533606.1,ENSG00000174672.11
ENST00000368074.1,ENSG00000132716.12
ENST00000370690.3,ENSG00000022267.12
ENST00000397783.1,ENSG00000007392.12
ENST00000439924.2,ENSG00000182149.14
ENST00000562610.1,ENSG00000140365.11
ENST00000454045.1,ENSG00000180229.8
ENST00000401609.1,ENSG00000100316.11
ENST00000409116.1,ENSG00000124380.6
ENST00000309502.3,ENSG00000163485.11
ENST00000265375.9,ENSG00000108100.12
ENST00000426855.2,ENSG00000141258.7
ENST00000263196.7,ENSG00000070413.13
ENST00000396689.2,ENSG00000072195.10
ENST00000299824.1,ENSG00000101445.4
ENST00000482739.2,ENSG00000168159.7
ENST00000540688.1,ENSG00000139180.5
ENST00000274811.4,ENSG00000146083.7
ENST00000515828.1,ENSG00000172932.10
ENST00000484123.1,ENSG00000144040.8
ENST00000574406.1,ENSG00000091592.10
ENST00000302538.5,ENSG00000159842.9
ENST00000380358.4,ENSG00000170004.12
ENST00000393893.1,ENSG00000172725.9
ENST00000420843.2,ENSG00000137486.12
ENST00000560464.1,ENSG00000140181.10
ENST00000544017.1,ENSG00000105197.4
ENST00000337737.3,ENSG00000178498.11
ENST00000400175.5,ENSG00000118680.8
ENST00000359285.5,ENSG00000178188.10
ENST00000287613.7,ENSG00000241553.5
ENST00000416202.1,ENSG00000241990.1
ENST00000377012.4,ENSG00000204681.5
ENST00000356404.3,ENSG00000110697.8
ENST00000531709.1,ENSG00000162231.7
ENST00000524496.1,ENSG00000166441.8
ENST00000462256.1,ENSG00000198563.8
ENST00000570237.1,ENSG00000103254.5
ENST00000156109.5,ENSG00000068394.9
ENST00000330965.3,ENSG00000238103.2
ENST00000295955.9,ENSG00000163682.11
ENST00000567599.1,ENSG00000261452.1
ENST00000412779.2,ENSG00000129538.9
ENST00000381192.3,ENSG00000002586.12
ENST00000503414.1,ENSG00000152583.8
ENST00000432365.2,ENSG00000065054.8
ENST00000332556.4,ENSG00000185896.9
ENST00000529460.1,ENSG00000167283.3
ENST00000292510.4,ENSG00000160948.8
ENST00000220584.4,ENSG00000079459.7
ENST00000304613.3,ENSG00000171798.12
ENST00000368258.3,ENSG00000163468.8
ENST00000539422.1,ENSG00000183248.5
ENST00000343114.3,ENSG00000066032.13
ENST00000588808.1,ENSG00000105290.5
ENST00000259727.4,ENSG00000137198.5
ENST00000449383.2,ENSG00000230903.3
ENST00000430544.2,ENSG00000237550.3
ENST00000290079.8,ENSG00000244187.2
ENST00000316878.6,ENSG00000108819.9
ENST00000264998.3,ENSG00000091513.10
ENST00000429829.1,ENSG00000229807.3
ENST00000475377.2,ENSG00000157827.15
ENST00000592204.1,ENSG00000132026.9
ENST00000444597.1,ENSG00000100201.14
ENST00000395842.2,ENSG00000073150.9
ENST00000378888.5,ENSG00000107404.13
ENST00000376894.4,ENSG00000204655.7
ENST00000263377.1,ENSG00000141867.11
ENST00000262304.4,ENSG00000008710.12
ENST00000309988.4,ENSG00000172005.6
ENST00000370602.1,ENSG00000155265.5
ENST00000361961.3,ENSG00000139116.13
ENST00000285206.8,ENSG00000167100.10
ENST00000391767.1,ENSG00000105605.3
ENST00000352301.4,ENSG00000138668.14
ENST00000378665.1,ENSG00000164405.6
ENST00000318934.4,ENSG00000089847.7
ENST00000375299.3,ENSG00000169062.9
ENST00000447750.2,ENSG00000203879.7
ENST00000322764.5,ENSG00000159840.11
ENST00000258105.7,ENSG00000204822.6
ENST00000361785.6,ENSG00000082996.14
